"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"631",875,871,857,876,510,435,273,496,685,385,471,410
"615",875,861,874,875,571,693,217,380,846,567,738,517.5
"632",867,868,856,874,458,699,387,593,559,388,629,451
"614",875,858,875,873,594,735,206,371,866,597,785,540.5
"653",724,876,562,872,822,561,503,100.5,291,175,357,246
"652",724,875,600.5,871,618,461,624,822,363,209,641,487
"613",867,849,876,870,299,81,695,590,558,718,557,732.5
"645",838.5,870,787,869,820,700,471,100.5,427,292,493,331
"620",867,853.5,866.5,865.5,353,719,412,538,666,621,760,655
"621",867,853.5,866.5,865.5,469,534,322,478,751,621,680.5,554.5
"622",867,853.5,866.5,865.5,469,534,322,478,751,621,680.5,554.5
"623",867,853.5,866.5,865.5,469,534,322,478,751,621,680.5,554.5
"624",867,853.5,866.5,865.5,469,534,322,478,751,621,680.5,554.5
"625",867,853.5,866.5,865.5,469,534,322,478,751,624,683,561.5
"642",838.5,867,796,862,819,511,277,100.5,529,305,386,282
"616",867,839.5,871.5,859.5,431.5,534,339.5,470.5,761,696.5,721,653
"617",867,839.5,871.5,859.5,431.5,534,339.5,470.5,762,694.5,719.5,651
"618",867,839.5,871.5,859.5,557,389.5,215,367,871,694.5,637,528
"619",867,839.5,871.5,859.5,308,719,436,535,669,696.5,781.5,732.5
"628",857,857,860,857,466,287,662,633,649,551,725,783.5
"644",838.5,866,793.5,856,149,475,434,670,437,329,367,402
"626",857,828.5,861.5,854.5,329,719,433,537,667,666,775.5,713
"627",857,828.5,861.5,854.5,568,389.5,211,369,869,667,623,516
"654",683,873,529,852,620,473,627,824,366,211,653,493
"655",683,873,529,852,620,473,627,824,366,211,653,493
"656",683,873,529,852,620,473,627,824,366,211,653,493
"629",857,830.5,859,850,309,521.5,462,569,623,585,619,561.5
"649",816.5,862,699.5,849,821,515,393,100.5,443,291,392,291
"630",857,825,858,848,300,608,470,595,601,595,674,620
"97",867,809,863,847,31,37,726,797,358,802,459,746
"650",724,859.5,685,845.5,602.5,173.5,587.5,725,444.5,300.5,502,453
"651",724,859.5,685,845.5,602.5,173.5,587.5,724,444.5,300.5,501,452
"659",683,869,469,844,823,687,531,100.5,280,170,403,262
"116",857,850,768,843,282,485,579,708,448,369,522,481
"112",838.5,846.5,774.5,841.5,481.5,685.5,379.5,614.5,613.5,347.5,655.5,476
"113",838.5,846.5,774.5,841.5,481.5,685.5,379.5,614.5,613.5,347.5,655.5,476
"634",850.5,812,853,840,272,521.5,486,609,579,594,614,586
"635",850.5,814.5,851,838.5,544.5,445.5,236.5,387.5,803.5,587.5,585.5,471.5
"636",850.5,814.5,851,838.5,544.5,445.5,236.5,387.5,803.5,587.5,585.5,471.5
"640",787.5,822.5,831,837,34,151,860,785,131,447,337,454
"638",838.5,813,848,836,436,136,670,642,634,571,634,748.5
"734",850.5,865,463,835,593,82,650,835,289,273,449.5,431
"205",838.5,842,702.5,834,723,441,463,100.5,519,319,393,333
"633",838.5,798,854.5,833,297,810,446,544,661,690,825.5,757
"114",816.5,821,771,832,61,721,701,727,425,394,599,551
"637",838.5,799,849,831,290,637,468,565,627,662,726,694.5
"101",850.5,801.5,845.5,830,107,456,578,681,536,603,566,637
"661",601,864,423.5,829,824,163,461,100.5,308,169,172,186
"182",838.5,797,842,828,435,380,369,502,785,592,615,567.5
"98",857,784,854.5,827,342,210,349,475,791,749,545,600
"109",787.5,807,808,826,102,164,830,676,381,516,427,543
"729",724,848,519.5,825,556,209,366,647,465,278,372,388.5
"639",816.5,788,845.5,824,535,599,232,379,844,680.5,734,576
"730",639.5,845,511.5,823,489,263,404,686,466,276,401,401
"125",724,811,732,822,501,618,498,677,474,368,663,491
"535",838.5,824,610.5,821,443,172,774,827,292,349,513.5,521
"490",511,863,364.5,820,779,331,633,100.5,220,163,258.5,228
"120",683,801.5,751.5,819,600,412,330,522,652,387,533,424
"136",683,832,490.5,818,446,324,779,820,423,276,617,604
"117",724,791,764,817,277,98,742,768,454,491,499,632
"99",838.5,713,851,816,15,45,766,804,329,835.5,484,780
"352",838.5,769,818,815,533,440,260,401,829,642,644,525
"25",639.5,800,685,814,677,843,517,100.5,538,355,600,385
"349",816.5,735.5,835.5,812.5,534,122,245,399,876,758,553,544
"350",816.5,735.5,835.5,812.5,328,425,457,553,780,758,752,816
"731",683,827,479,811,361,765,465,699,432,276,579,426
"265",816.5,726,838,810,126,455,643,690,493,762,674,803
"127",683,793,712,808.5,555,453,403,617,565,384,572,448
"183",816.5,718,841,808.5,279,703,499,594,746,787.5,857,854
"648",757.5,785.5,759,807,355,198,692,695,548,528,591,700.5
"187",816.5,750,830,806,305,656,500,620,693,689,831,831
"100",787.5,687.5,847,805,160,784,549,626,626,839,851,856
"185",850.5,716.5,834,804,165,800,594,682,628,772.5,863,861
"28",639.5,795,673.5,803,678,837,432,100.5,611,360,593,381
"266",816.5,727,832,801.5,403,503,261,416,802,732,649,565
"292",816.5,806,596.5,801.5,495,267,328,560,583,356.5,402,399
"186",816.5,725,833,800,214,806,582,679,629,744.5,866,857
"181",838.5,686,844,799,280,776,495,585,763,829,870,862
"195",838.5,755,806,798,332,768,494,619,719,630,850,826
"111",724,764.5,782,797,418,496,422,554,658,537,630,534
"184",838.5,679,840,796,241,578.5,506,608,723,815,832,855
"102",724,666,843,795,232,157,364,459,745,831,474,578
"110",838.5,753.5,790.5,793.5,246,634,490,600,622,606,696,673
"396",757.5,843,405,793.5,756,302,558,100.5,351,239,291,272
"351",816.5,723,824.5,792,487,226,338,486,826,709,621,647.5
"18",683,775.5,721,791,408,78,721,778,563,439,577,712
"353",787.5,716.5,813.5,790,472,366.5,356,505,814,702,708,714
"103",816.5,627.5,839,789,337,212,335,440,813,837,570,654
"29",639.5,782.5,671.5,788,488,843,519,675,540,382,822.5,624
"189",838.5,684,828,787,500,807.5,325,445,861,753,867,799
"483",601,837,397,786,775,401,751,100.5,337,215,399,334
"362",816.5,753.5,754,785,376,450,441,547,582,582,573,514
"223",757.5,818,439.5,784,540,550,479,716,457,244,576,428
"104",757.5,588,837,783,257,326,437,523,732,844,650,766
"268",787.5,664,821,781,388,659,315,447,756,741,757,675
"269",787.5,664,821,781,388,659,315,447,756,741,757,675
"270",787.5,664,821,781,388,659,315,447,756,741,757,675
"108",787.5,679,811.5,779,16,22,663,602,91,707,208,405
"13",639.5,758,721,776,295,843,514,654,636,506,825.5,741.5
"14",639.5,758,721,776,295,843,514,654,636,506,825.5,741.5
"15",639.5,758,721,776,473.5,603.5,382.5,548.5,733.5,506,723.5,590.5
"16",639.5,758,721,776,295,843,514,654,636,506,825.5,741.5
"17",639.5,758,721,776,473.5,603.5,382.5,548.5,733.5,506,723.5,590.5
"118",787.5,739,762,773,109,592,584,692,513,593,628,668.5
"703",787.5,721,776,772,237,124,678,738,412,598,473,596
"4",408.5,723,771,771,253,428,524,646,592,579,595,621
"737",511,817,448.5,770,395,444,518,718,401,272,457,415
"12",639.5,752,721,768,424,705,390,551,731,530,766,639
