"","ARI"
"Purity",0.936635047014898
"Fmeasure",0.561823524651574
"RI",0.806988285023944
"ARI",1
"ball_hall",0.110540930993568
"banfeld_raftery",NA
"c_index",-0.524396265297615
"calinski_harabasz",0.677883668048331
"davies_bouldin",-0.0584887448654058
"det_ratio",0.0185205795108624
"dunn",-0.116034286971967
"gamma",NA
"g_plus",0.0565070716658084
"gdi11",-0.116034286971967
"gdi12",-0.205412965569149
"gdi13",-0.196451932312107
"gdi21",0.435816324743052
"gdi22",0.411450825494976
"gdi23",0.416263223869061
"gdi31",0.327554819201832
"gdi32",0.25420564233958
"gdi33",0.262511905660021
"gdi41",0.310232745470988
"gdi42",0.239364473656176
"gdi43",0.247097994883173
"gdi51",0.498113681604092
"gdi52",0.51520802476347
"gdi53",0.517324123669971
"ksq_detw",-0.119026575526781
"log_det_ratio",0.410876517609487
"log_ss_ratio",0.684644111313568
"mcclain_rao",-0.511238916817016
"pbm",0.65962468915949
"point_biserial",-0.599623473223005
"ray_turi",-0.119106667160641
"ratkowsky_lance",0.153356283310218
"scott_symons",NA
"sd_scat",-0.364005201458748
"sd_dis",-0.246341891799929
"s_dbw",NA
"silhouette",0.131014615600704
"tau",-0.0103618478495462
"trace_w",-0.221704552503581
"trace_wib",0.585636286173436
"wemmert_gancarski",0.338416829985626
"xie_beni",NA
"infomax",0.624185681541008
"Time",0.0487910008344003
