"","ARI"
"Purity",0.975108384733728
"Fmeasure",0.868749956572597
"RI",0.999845303422034
"ARI",1
"ball_hall",0.0213712661038242
"banfeld_raftery",NA
"c_index",-0.601446225721084
"calinski_harabasz",0.854677142130049
"davies_bouldin",-0.0956895292110932
"det_ratio",0.162454795637511
"dunn",-0.420737732293873
"gamma",NA
"g_plus",-0.0269311996013582
"gdi11",-0.420737732293873
"gdi12",-0.393870276387957
"gdi13",-0.378462732094902
"gdi21",0.719258688347683
"gdi22",0.810432834953347
"gdi23",0.806299171796742
"gdi31",0.444124562473693
"gdi32",0.540461929695215
"gdi33",0.562446588079983
"gdi41",0.457137824379744
"gdi42",0.523929385224965
"gdi43",0.546743961958963
"gdi51",-0.300948538862946
"gdi52",-0.250621000495882
"gdi53",-0.11924728468671
"ksq_detw",-0.143940960728582
"log_det_ratio",0.71125011859277
"log_ss_ratio",0.752029079296511
"mcclain_rao",-0.555777160064241
"pbm",0.644895265093344
"point_biserial",-0.761912066221057
"ray_turi",-0.0527807991244228
"ratkowsky_lance",0.567082300300972
"scott_symons",NA
"sd_scat",-0.547974729325155
"sd_dis",-0.308305964621668
"s_dbw",-0.281011934207105
"silhouette",0.146425904443819
"tau",0.0994948956627295
"trace_w",-0.239556187995268
"trace_wib",0.718613169863636
"wemmert_gancarski",0.568342480982858
"xie_beni",-0.0382512893983943
"infomax",0.715527918486315
"Time",-0.0510704549303906
