"","ARI"
"Purity",0.949552748625338
"Fmeasure",0.795397923130206
"RI",0.999659338006388
"ARI",1
"ball_hall",0.0591397912503709
"banfeld_raftery",NA
"c_index",-0.271896941199824
"calinski_harabasz",0.44842810338457
"davies_bouldin",-0.013458823397302
"det_ratio",0.0783501922703024
"dunn",-0.083729752676144
"gamma",NA
"g_plus",-0.00675044736081444
"gdi11",-0.083729752676144
"gdi12",-0.0884797960858515
"gdi13",-0.0904979710307841
"gdi21",0.150969662342331
"gdi22",0.0765374991129938
"gdi23",0.0667764144576624
"gdi31",0.0864617263619655
"gdi32",0.0137911776256721
"gdi33",0.0058740126647831
"gdi41",0.0731205369578009
"gdi42",0.00780971774713998
"gdi43",-6.38412594020012e-05
"gdi51",0.193949610352754
"gdi52",0.163996475747103
"gdi53",0.160805239966473
"ksq_detw",0.00912716381115585
"log_det_ratio",0.347781059459996
"log_ss_ratio",0.341136840732907
"mcclain_rao",-0.125243638692632
"pbm",0.31967229200408
"point_biserial",-0.28242285297396
"ray_turi",-0.00679430945371338
"ratkowsky_lance",0.413491026112122
"scott_symons",NA
"sd_scat",-0.199577480466351
"sd_dis",-0.01973749857687
"s_dbw",NA
"silhouette",0.0315910740021508
"tau",-0.0049567793079581
"trace_w",-0.0550369567315571
"trace_wib",0.389522456348094
"wemmert_gancarski",0.147479267671442
"xie_beni",NA
"infomax",0.335232612420154
"Time",0.0162741492050731
