"","ARI"
"Purity",0.954266860386635
"Fmeasure",0.774926334286592
"RI",0.999617643109565
"ARI",1
"ball_hall",0.0541523281242135
"banfeld_raftery",NA
"c_index",-0.2551489616837
"calinski_harabasz",0.360319883528172
"davies_bouldin",-0.0233608313813379
"det_ratio",0.04273511972793
"dunn",-0.0487488610599127
"gamma",NA
"g_plus",-0.00207687425640577
"gdi11",-0.0487488610599127
"gdi12",-0.0539004180647121
"gdi13",-0.0564129226709478
"gdi21",0.0947418903057685
"gdi22",0.0857463206492217
"gdi23",0.0718165806731877
"gdi31",0.00570069807689252
"gdi32",-0.0104514488269416
"gdi33",-0.0203010982316038
"gdi41",0.0044380820116656
"gdi42",-0.0112949973768175
"gdi43",-0.0209416922260764
"gdi51",0.289284411575259
"gdi52",0.334789839768626
"gdi53",0.323021917958594
"ksq_detw",0.00286442838303455
"log_det_ratio",0.329200981837307
"log_ss_ratio",0.335581827586171
"mcclain_rao",-0.149141150979238
"pbm",0.330796326254279
"point_biserial",-0.252036640891137
"ray_turi",-0.00774374705605216
"ratkowsky_lance",0.304032968239663
"scott_symons",NA
"sd_scat",-0.201067620062752
"sd_dis",-0.0290947612148496
"s_dbw",NA
"silhouette",0.0260497796932095
"tau",-0.00826327351581898
"trace_w",-0.0513546782846469
"trace_wib",0.40399689482288
"wemmert_gancarski",0.152818289150473
"xie_beni",NA
"infomax",0.346375961470222
"Time",0.023434884450654
