"","ARI"
"Purity",0.960970292935227
"Fmeasure",0.873745306390979
"RI",0.999775720520958
"ARI",1
"ball_hall",0.0617710321980007
"banfeld_raftery",NA
"c_index",-0.303847211780383
"calinski_harabasz",0.528720973935907
"davies_bouldin",-0.00453054389290782
"det_ratio",0.236302458427151
"dunn",-0.104838331966641
"gamma",NA
"g_plus",-0.0105207598783419
"gdi11",-0.104838331966641
"gdi12",-0.109141792381676
"gdi13",-0.111163857401271
"gdi21",0.221017181589224
"gdi22",0.0794173094719142
"gdi23",0.069477529352026
"gdi31",0.152342823549912
"gdi32",0.0258617369608458
"gdi33",0.0190920703743837
"gdi41",0.127759860164104
"gdi42",0.0165057286067465
"gdi43",0.00967147446137941
"gdi51",0.127596503937708
"gdi52",-0.00120814833762894
"gdi53",-0.00607534698005457
"ksq_detw",0.0168984248166079
"log_det_ratio",0.539574988435324
"log_ss_ratio",0.399615171218612
"mcclain_rao",-0.115512150138916
"pbm",0.363512237669732
"point_biserial",-0.312823616706166
"ray_turi",-0.0128575821988505
"ratkowsky_lance",0.487156241838457
"scott_symons",NA
"sd_scat",-0.235768824685958
"sd_dis",-0.00582161372375102
"s_dbw",NA
"silhouette",0.0298824217156554
"tau",-0.00318996379819213
"trace_w",-0.0631511147327959
"trace_wib",0.544230866487638
"wemmert_gancarski",0.146121726682238
"xie_beni",-0.0061321463419466
"infomax",0.469007748667767
"Time",0.0114333315696221
