"","Purity","Fmeasure","RI","ARI","silhouette","dunn","ball_hall","banfeld_raftery","calinski_harabasz","infomax","combined_rank","combined_rank2"
"409",984,440,984,984,62,127,314,149,197,686,12,180
"97",983,328,983,983,231,355,547,542,886,927,830,902
"98",977,469,977,980,239,104,887,850,487,531.5,467,720
"601",977,469,977,980,351,465,645,727,611,531.5,698,719
"605",977,469,977,980,371,336,856,775,622,531.5,832,859
"606",977,469,977,980,476.5,457.5,541.5,668.5,626.5,531.5,676.5,643.5
"607",977,469,977,980,476.5,457.5,541.5,668.5,626.5,531.5,676.5,643.5
"1",977,402,977,977,55,391,282,356,298,650,91,271
"603",977,375,977,976,391,140,436,500,921,686,452,620
"602",977,344.5,977,974.5,269,421,569,557,885,727.5,779,834
"604",977,344.5,977,974.5,215,603,668,622,833,727.5,913,907
"2",977,298.5,977,972.5,27,22,976,928,207,886.5,436.5,813
"889",977,298.5,977,972.5,45,100,289,148,132,886.5,17,209
"608",964.5,475.5,964.5,970.5,507.5,260.5,489.5,639.5,634.5,522,440.5,511.5
"609",964.5,475.5,964.5,970.5,507.5,260.5,489.5,639.5,634.5,522,440.5,511.5
"313",964.5,454,964.5,969,60,50,300,147,41,540,2,96
"505",964.5,389,964.5,968,84,181,77,203,306,636.5,5,137
"3",964.5,371.5,964.5,966.5,156,290,227,280,566,669,130.5,307
"100",964.5,371.5,964.5,966.5,241,118,866,784,630,669,680.5,864
"102",964.5,329,964.5,965,198,265,719,678,698,705,623,810
"99",964.5,300,964.5,964,70,167,207,256,425,764,55,272
"101",964.5,267,964.5,961,379.5,235.5,468.5,490.5,935.5,853,720.5,819.5
"103",964.5,267,964.5,961,270.5,149.5,837.5,742.5,725.5,853,877.5,960.5
"104",964.5,267,964.5,961,379.5,235.5,468.5,490.5,935.5,853,720.5,819.5
"105",964.5,267,964.5,961,270.5,149.5,837.5,742.5,725.5,853,877.5,960.5
"410",964.5,267,964.5,961,33,179,951,698,38,853,316,558
"610",964.5,263,964.5,958,68,141,930,830,453,927,714,927
"106",938,613,938,957,188,570,208,299,292,404,69,145
"411",938,547,938,954,601,746,448,700.5,490,463.5,794.5,578.5
"412",938,547,938,954,601,746,448,700.5,490,463.5,794.5,578.5
"413",938,547,938,954,601,746,448,700.5,490,463.5,794.5,578.5
"419",938,547,938,954,601,746,448,703,490,463.5,798,583
"420",938,547,938,954,601,746,448,700.5,490,463.5,794.5,578.5
"506",938,393,938,948,480,287,585,627,729,614.5,694,729.5
"507",938,393,938,948,232,264,960,902,563,614.5,858,940
